word1,word2
CHIEN,NUAGE
POMME,BUREAU
LUNE,CHAPEAU
ARBRE,BOUTON
LAMPE,RIVIÈRE
PORTE,ÉTOILE
CHAISE,MONTAGNE
FLEUR,MIROIR
PAIN,FENÊTRE
LIVRE,SABLE
VERRE,FORÊT
CLEF,BALLON
